Sample	Abundance	Genus	Health
94T1	3.9655309436228605	Alistipes	HWC
92T1	3.959232249050996	Alistipes	HWC
106T1	3.9523080096621253	Alistipes	HWC
90T1	3.8671727511786496	Alistipes	HWC
92T1	3.8296253533580495	Barnesiella	HWC
28T1	3.7794521834040617	Alistipes	OB
107T1	3.753046561626529	Alistipes	HWC
93T1	3.733999286538387	Alistipes	HWC
9T1	3.7069736761761782	Alistipes	OB
74T1	3.6670792054642165	Alistipes	HWC
11T1	3.653309012938479	Alistipes	OB
83T1	3.631240780235509	Alistipes	HWC
69T1	3.58983794314746	Alistipes	HWC
34T1	3.5749567757645067	Alistipes	OB
104T1	3.552911450216509	Alistipes	HWC
116T1	3.494432898726399	Alistipes	HWC
23T1	3.471438407389299	Alistipes	OB
94T1	3.4435758797502576	Barnesiella	HWC
89T1	3.423081958297231	Alistipes	HWC
22T1	3.4114513421379375	Alistipes	OB
134T1	3.371990911464915	Alistipes	HWC
111T1	3.3594560201209864	Alistipes	HWC
85T1	3.3481100684802376	Intestinibacter	OB
73T1	3.343802333161655	Intestinibacter	HWC
92T1	3.3394514413064407	Butyricimonas	HWC
52T1	3.3138672203691533	Alistipes	OB
98T1	3.3008127941181167	Alistipes	HWC
51T1	3.290479813330673	Alistipes	OB
72T1	3.2764618041732443	Alistipes	HWC
21T1	3.2750808984568587	Alistipes	OB
84T1	3.230959555748569	Alistipes	HWC
127T1	3.2132520521963968	Alistipes	HWC
88T1	3.1970047280230456	Alistipes	HWC
97T1	3.190051417759206	Alistipes	HWC
38T1	3.1869563354654122	Alistipes	OB
73T1	3.1772478362556233	Alistipes	HWC
67T1	3.17435059747938	Intestinibacter	HWC
16T1	3.1341771075767664	Intestinibacter	OB
39T1	3.1065308538223815	Alistipes	OB
22T1	3.084576277934331	Intestinibacter	OB
33T1	3.049605612594973	Alistipes	OB
16T1	3.0453229787866576	Alistipes	OB
11T1	3.016197353512439	Butyricimonas	OB
63T1	3.015778756389041	Alistipes	HWC
66T1	3.0060379549973173	Alistipes	HWC
89T1	2.984077033902831	Barnesiella	HWC
111T1	2.971275848738105	Barnesiella	HWC
13T1	2.9698816437465	Alistipes	OB
73T1	2.9339931638312424	Butyricicoccus	HWC
106T1	2.928907690243953	Barnesiella	HWC
34T1	2.9041743682841634	Barnesiella	OB
37T1	2.8779469516291885	Alistipes	OB
127T1	2.833784374656479	Butyricicoccus	HWC
24T1	2.821513528404773	Erysipelatoclostridium	OB
28T1	2.7993405494535817	Lachnospira	OB
11T1	2.788875115775417	Barnesiella	OB
40T1	2.765668554759014	Alistipes	OB
107T1	2.727541257028556	Barnesiella	HWC
76T1	2.708420900134713	Veillonella	HWC
90T1	2.694605198933569	Barnesiella	HWC
104T1	2.673020907128896	Barnesiella	HWC
13T1	2.6314437690131722	Intestinibacter	OB
53T1	2.625312450961674	Lachnospira	OB
33T1	2.617000341120899	Lachnospira	OB
85T1	2.578639209968072	Butyricicoccus	OB
109T1	2.5658478186735176	Alistipes	HWC
24T1	2.5634810853944106	Lachnospira	OB
39T1	2.550228353055094	Butyricicoccus	OB
50T1	2.537819095073274	Lachnospira	OB
94T1	2.5327543789924976	Butyricimonas	HWC
66T1	2.526339277389844	Butyricicoccus	HWC
98T1	2.519827993775719	Barnesiella	HWC
22T1	2.4913616938342726	Lachnospira	OB
38T1	2.4608978427565478	Intestinibacter	OB
24T1	2.444044795918076	Butyricicoccus	OB
120T1	2.4424797690644486	Alistipes	HWC
84T1	2.4265112613645754	Intestinibacter	HWC
22T1	2.41161970596323	Butyricicoccus	OB
116T1	2.376576957056512	Butyricimonas	HWC
63T1	2.376576957056512	Intestinibacter	HWC
94T1	2.374748346010104	Butyricicoccus	HWC
63T1	2.374748346010104	Lachnospira	HWC
39T1	2.359835482339888	Intestinibacter	OB
76T1	2.3502480183341627	Lachnospira	HWC
54T1	2.3324384599156054	Butyricicoccus	OB
101T1	2.330413773349191	Alistipes	HWC
23T1	2.3242824552976926	Lachnospira	OB
91T1	2.320146286111054	Alistipes	OB
37T1	2.3138672203691533	Barnesiella	OB
76T1	2.3138672203691533	Alistipes	HWC
88T1	2.303196057420489	Barnesiella	HWC
67T1	2.303196057420489	Alistipes	HWC
73T1	2.3010299956639813	Veillonella	HWC
37T1	2.2764618041732443	Butyricicoccus	OB
21T1	2.271841606536499	Lachnospira	OB
106T1	2.255272505103306	Butyricicoccus	HWC
53T1	2.250420002308894	Alistipes	OB
69T1	2.2479732663618064	Butyricicoccus	HWC
16T1	2.2227164711475833	Erysipelatoclostridium	OB
66T1	2.2174839442139063	Barnesiella	HWC
52T1	2.2121876044039577	Intestinibacter	OB
134T1	2.2121876044039577	Lachnospira	HWC
127T1	2.204119982655925	Intestinibacter	HWC
120T1	2.2013971243204513	Butyricimonas	HWC
40T1	2.1958996524092336	Intestinibacter	OB
52T1	2.1958996524092336	Barnesiella	OB
5T1	2.1931245983544616	Butyricicoccus	OB
51T1	2.1702617153949575	Butyricicoccus	OB
66T1	2.164352855784437	Intestinibacter	HWC
73T1	2.155336037465062	Erysipelatoclostridium	HWC
9T1	2.1522883443830563	Lachnospira	OB
28T1	2.1492191126553797	Butyricicoccus	OB
68T1	2.146128035678238	Erysipelatoclostridium	HWC
51T1	2.146128035678238	Lachnospira	OB
37T1	2.1398790864012365	Lachnospira	OB
33T1	2.1367205671564067	Intestinibacter	OB
83T1	2.1335389083702174	Barnesiella	HWC
109T1	2.130333768495006	Lachnospira	HWC
66T1	2.1271047983648077	Lachnospira	HWC
85T1	2.12057393120585	Alistipes	OB
51T1	2.1172712956557644	Barnesiella	OB
90T1	2.1072099696478683	Butyricimonas	HWC
21T1	2.0969100130080562	Butyricicoccus	OB
88T1	2.093421685162235	Intestinibacter	HWC
43T1	2.089905111439398	Intestinibacter	OB
120T1	2.075546961392531	Butyricicoccus	HWC
43T1	2.075546961392531	Alistipes	OB
92T1	2.0718820073061255	Intestinibacter	HWC
91T1	2.0718820073061255	Butyricicoccus	OB
63T1	2.0681858617461617	Butyricicoccus	HWC
34T1	2.0644579892269186	Intestinibacter	OB
109T1	2.05307844348342	Intestinibacter	HWC
40T1	2.05307844348342	Lachnospira	OB
67T1	2.0492180226701815	Barnesiella	HWC
107T1	2.041392685158225	Butyricicoccus	HWC
9T1	2.03342375548695	Intestinibacter	OB
34T1	2.0293837776852097	Butyricicoccus	OB
16T1	2.0293837776852097	Lachnospira	OB
104T1	2.0253058652647704	Intestinibacter	HWC
38T1	2.0253058652647704	Butyricicoccus	OB
22T1	2.012837224705172	Veillonella	OB
72T1	2.0043213737826426	Barnesiella	HWC
51T1	1.99563519459755	Veillonella	OB
76T1	1.99563519459755	Butyricicoccus	HWC
106T1	1.9912260756924949	Lachnospira	HWC
52T1	1.9777236052888478	Butyricicoccus	OB
39T1	1.9731278535996986	Erysipelatoclostridium	OB
104T1	1.968482948553935	Butyricimonas	HWC
69T1	1.9590413923210936	Intestinibacter	HWC
1T1	1.9542425094393248	Erysipelatoclostridium	OB
90T1	1.9542425094393248	Intestinibacter	HWC
134T1	1.9542425094393248	Butyricicoccus	HWC
134T1	1.9493900066449128	Erysipelatoclostridium	HWC
116T1	1.9493900066449128	Butyricicoccus	HWC
54T1	1.9344984512435677	Intestinibacter	OB
88T1	1.919078092376074	Lachnospira	HWC
109T1	1.9084850188786497	Butyricicoccus	HWC
54T1	1.9084850188786497	Lachnospira	OB
91T1	1.8808135922807914	Erysipelatoclostridium	OB
33T1	1.8750612633917	Erysipelatoclostridium	OB
5T1	1.8692317197309762	Intestinibacter	OB
92T1	1.8692317197309762	Butyricicoccus	HWC
23T1	1.8573324964312685	Intestinibacter	OB
51T1	1.8512583487190752	Intestinibacter	OB
98T1	1.8388490907372552	Butyricimonas	HWC
38T1	1.8388490907372552	Veillonella	OB
74T1	1.8388490907372552	Butyricicoccus	HWC
76T1	1.8195439355418688	Barnesiella	HWC
69T1	1.7781512503836436	Erysipelatoclostridium	HWC
72T1	1.7781512503836436	Intestinibacter	HWC
13T1	1.7634279935629373	Lachnospira	OB
89T1	1.7403626894942439	Intestinibacter	HWC
94T1	1.7075701760979363	Erysipelatoclostridium	HWC
73T1	1.6989700043360187	Butyricimonas	HWC
91T1	1.6720978579357175	Intestinibacter	OB
50T1	1.6532125137753437	Intestinibacter	OB
84T1	1.6532125137753437	Lachnospira	HWC
37T1	1.6334684555795866	Erysipelatoclostridium	OB
1T1	1.6334684555795866	Butyricicoccus	OB
9T1	1.6232492903979006	Erysipelatoclostridium	OB
101T1	1.6127838567197355	Veillonella	HWC
